dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
9/1/2025,9/1/2025 23:34,CUST000000142618,678480,1,2E+12,Two,USD,$8 ,4%,2,app,
9/1/2025,9/1/2025 23:34,CUST000000142618,678480,2,2E+12,1,USD,$43 ,10%,8,app,
9/1/2025,9/1/2025 8:29,CUST000000161576,678481,1,2E+12,Two,AED,1386,9%,305,app,FEST20
9/1/2025,9/1/2025 21:08,CUST000000039420,678482,1,2E+12,1,INR,3327,0%,400,web,FEST20
9/1/2025,9/1/2025 2:20,CUST000000184792,678483,1,2E+12,Two,GBP,244,16%,21,app,
9/1/2025,9/1/2025 6:00,CUST000000127842,678484,1,2E+12,1,INR,1701,15%,173,web,SAVE50
9/1/2025,9/1/2025 5:18,CUST000000085923,678485,1,2E+12,3,AED,57,9%,8,web,
9/1/2025,9/1/2025 22:14,CUST000000005627,678486,1,2E+12,3,INR,10550,0%,1583,app,
9/1/2025,9/1/2025 21:19,CUST000000110767,678487,1,2E+12,1,INR,4080,8%,453,app,
9/1/2025,9/1/2025 13:19,CUST000000053763,678488,1,2E+12,1,USD,$41 ,17%,5,web,
9/1/2025,9/1/2025 13:19,CUST000000053763,678488,2,2E+12,1,USD,$23 ,8%,3,web,
9/1/2025,9/1/2025 15:19,CUST000000009368,678489,1,2E+12,1,INR,3104,8%,143,web,
9/1/2025,9/1/2025 15:19,CUST000000009368,678489,2,2E+12,1,INR,8719,4%,1001,web,
9/1/2025,9/1/2025 17:43,CUST000000235610,678490,1,2E+12,1,INR,2279,12%,241,web,
9/1/2025,9/1/2025 19:38,CUST000000065468,678491,1,2E+12,3,INR,3318,9%,1083,web,
9/1/2025,9/1/2025 19:38,CUST000000065468,678491,2,2E+12,1,INR,47607,10%,2131,web,
9/1/2025,9/1/2025 0:27,CUST000000144053,678492,1,2E+12,1,AED,1219,13%,128,app,
9/1/2025,9/1/2025 0:27,CUST000000144053,678492,2,2E+12,1,AED,213,3%,38,app,
9/1/2025,9/1/2025 17:13,CUST000000025634,678493,1,2E+12,1,INR,2166,4%,375,web,
9/1/2025,9/1/2025 17:13,CUST000000025634,678493,2,2E+12,1,INR,953,0%,115,web,
9/1/2025,9/1/2025 17:13,CUST000000025634,678493,3,2E+12,1,INR,1746,5%,299,web,
9/1/2025,9/1/2025 9:04,CUST000000286793,678494,1,2E+12,1,SGD,44,14%,5,web,SAVE50
9/1/2025,9/1/2025 22:11,CUST000000259105,678495,1,2E+12,1,INR,709,11%,114,web,FEST20
9/1/2025,9/1/2025 21:27,CUST000000042472,678496,1,2E+12,1,INR,4052,8%,449,web,PRIME5
9/1/2025,9/1/2025 21:27,CUST000000042472,678496,2,2E+12,1,INR,1784,0%,90,web,PRIME5
9/1/2025,9/1/2025 1:33,CUST000000010681,678497,1,2E+12,1,INR,683,2%,34,app,
9/1/2025,9/1/2025 23:14,CUST000000245415,678498,1,2E+12,1,INR,8655,3%,1010,app,
9/1/2025,9/1/2025 23:14,CUST000000245415,678498,2,2E+12,1,INR,11015,23%,1527,app,
9/1/2025,9/1/2025 23:14,CUST000000245415,678498,3,2E+12,1,INR,2866,5%,327,app,
9/1/2025,9/1/2025 3:12,CUST000000042014,678499,1,2E+12,1,INR,98356,8%,16360,app,SAVE50
9/1/2025,9/1/2025 22:00,CUST000000117136,678500,1,2E+12,1,GBP,84,0%,11,app,NEW10
9/1/2025,9/1/2025 22:49,CUST000000150635,678501,1,2E+12,4,CAD,107,13%,46,web,
9/1/2025,9/1/2025 12:02,CUST000000197721,678502,1,2E+12,Two,AUD,22,25%,2,app,
9/1/2025,9/1/2025 12:02,CUST000000197721,678502,2,2E+12,Two,AUD,99,16%,31,app,
9/1/2025,9/1/2025 12:02,CUST000000197721,678502,3,2E+12,4,AUD,22,4%,11,app,
9/1/2025,9/1/2025 17:56,CUST000000233938,678503,1,2E+12,Two,USD,$417 ,10%,91,app,
9/1/2025,9/1/2025 22:58,CUST000000200770,678504,1,2E+12,1,INR,589,15%,26,app,
9/1/2025,9/1/2025 22:58,CUST000000200770,678504,2,2E+12,1,INR,742,8%,123,app,
9/1/2025,9/1/2025 10:35,CUST000000222622,678505,1,2E+12,1,AUD,46,14%,5,web,
9/1/2025,9/1/2025 2:34,CUST000000214318,678506,1,2E+12,1,SGD,593,11%,64,web,FEST20
9/1/2025,9/1/2025 12:39,CUST000000207399,678507,1,2E+12,1,INR,9911,1%,1180,app,
9/1/2025,9/1/2025 20:48,CUST000000214696,678508,1,2E+12,1,INR,6286,0%,755,app,NEW10
9/1/2025,9/1/2025 9:50,CUST000000247851,678509,1,2E+12,4,CAD,38,4%,27,web,
9/1/2025,9/1/2025 23:09,CUST000000054601,678510,1,2E+12,Two,USD,$30 ,9%,11,app,
9/1/2025,9/1/2025 10:26,CUST000000038616,678511,1,2E+12,3,INR,2952,14%,383,web,
9/1/2025,9/1/2025 1:00,CUST000000256495,678512,1,2E+12,Two,SGD,133,7%,30,app,
9/1/2025,9/1/2025 9:35,CUST000000203235,678513,1,2E+12,Two,INR,1797,1%,178,web,FEST20
9/1/2025,9/1/2025 5:13,CUST000000086058,678514,1,2E+12,1,INR,662,8%,31,app,
9/1/2025,9/1/2025 5:13,CUST000000086058,678514,2,2E+12,Two,INR,600,21%,48,app,
9/1/2025,9/1/2025 20:01,CUST000000149184,678515,1,2E+12,1,INR,5068,8%,558,app,
9/1/2025,9/1/2025 1:35,CUST000000045893,678516,1,2E+12,1,INR,43027,0%,5164,app,
9/1/2025,9/1/2025 1:35,CUST000000045893,678516,2,2E+12,1,INR,36386,9%,1665,app,
9/1/2025,9/1/2025 22:39,CUST000000206036,678517,1,2E+12,Two,AUD,103,3%,11,app,NEW10
9/1/2025,9/1/2025 16:31,CUST000000216027,678518,1,2E+12,Two,INR,2286,0%,549,web,
9/1/2025,9/1/2025 5:58,CUST000000205760,678519,1,2E+12,1,INR,836,12%,89,app,FEST20
9/1/2025,9/1/2025 18:51,CUST000000098628,678520,1,2E+12,1,USD,$50 ,2%,6,app,
9/1/2025,9/1/2025 18:51,CUST000000098628,678520,2,2E+12,1,USD,$136 ,6%,16,app,
9/1/2025,9/1/2025 13:08,CUST000000031703,678521,1,2E+12,1,SGD,135,14%,14,web,
9/1/2025,9/1/2025 10:38,CUST000000180327,678522,1,2E+12,1,AED,4137,0%,745,app,
9/1/2025,9/1/2025 0:37,CUST000000151555,678523,1,2E+12,Two,GBP,957,11%,205,app,
9/1/2025,9/1/2025 0:37,CUST000000151555,678523,2,2E+12,1,GBP,137,0%,17,app,
9/1/2025,9/1/2025 1:35,CUST000000282550,678524,1,2E+12,1,INR,3595,8%,397,web,
9/1/2025,9/1/2025 6:53,CUST000000081248,678525,1,2E+12,1,USD,$25 ,10%,3,app,
9/1/2025,9/1/2025 10:38,CUST000000155754,678526,1,2E+12,1,AUD,28,19%,3,app,
9/1/2025,9/1/2025 10:38,CUST000000155754,678526,2,2E+12,1,AUD,1457,18%,145,app,
9/1/2025,9/1/2025 0:26,CUST000000147242,678527,1,2E+12,1,INR,699,18%,70,web,
9/1/2025,9/1/2025 15:38,CUST000000137984,678528,1,2E+12,1,INR,1938,2%,343,web,
9/1/2025,9/1/2025 13:30,CUST000000239238,678529,1,2E+12,1,GBP,15,15%,1,app,
9/1/2025,9/1/2025 13:30,CUST000000239238,678529,2,2E+12,1,GBP,6,20%,1,app,
9/1/2025,9/1/2025 22:41,CUST000000238799,678530,1,2E+12,1,INR,48816,12%,5167,app,
9/1/2025,9/1/2025 19:41,CUST000000224500,678531,1,2E+12,1,USD,$15 ,15%,1,web,FEST20
9/1/2025,9/1/2025 19:41,CUST000000224500,678531,2,2E+12,3,USD,$8 ,14%,2,web,FEST20
9/1/2025,9/1/2025 19:41,CUST000000224500,678531,3,2E+12,1,USD,$320 ,5%,37,web,FEST20
9/1/2025,9/1/2025 6:15,CUST000000010828,678532,1,2E+12,1,AED,95,0%,18,web,FEST20
9/1/2025,9/1/2025 12:39,CUST000000062013,678533,1,2E+12,1,INR,1546,12%,69,web,
9/1/2025,9/1/2025 2:15,CUST000000004910,678534,1,2E+12,1,INR,67599,14%,6963,web,
9/1/2025,9/1/2025 2:15,CUST000000004910,678534,2,2E+12,1,INR,5072,8%,838,web,
9/1/2025,9/1/2025 4:53,CUST000000015121,678535,1,2E+12,1,INR,1384,0%,250,web,SAVE50
9/1/2025,9/1/2025 4:53,CUST000000015121,678535,2,2E+12,Two,INR,1780,14%,154,web,SAVE50
9/1/2025,9/1/2025 4:53,CUST000000015121,678535,3,2E+12,3,INR,107662,4%,37357,web,SAVE50
9/1/2025,9/1/2025 5:36,CUST000000250211,678536,1,2E+12,Two,INR,641,19%,53,app,FEST20
9/1/2025,9/1/2025 5:36,CUST000000250211,678536,2,2E+12,1,INR,5251,14%,543,app,FEST20
9/1/2025,9/1/2025 12:55,CUST000000279491,678537,1,2E+12,1,SGD,84,6%,10,web,FEST20
9/1/2025,9/1/2025 11:54,CUST000000125691,678538,1,2E+12,1,INR,32350,16%,1359,app,PRIME5
9/1/2025,9/1/2025 6:01,CUST000000252498,678539,1,2E+12,1,USD,$23 ,2%,5,app,
9/1/2025,9/1/2025 1:31,CUST000000173090,678540,1,2E+12,1,GBP,48,6%,6,app,
9/1/2025,9/1/2025 8:48,CUST000000157108,678541,1,2E+12,1,USD,$31 ,16%,2,web,
9/1/2025,9/1/2025 8:48,CUST000000157108,678541,2,2E+12,3,USD,$38 ,7%,13,web,
9/1/2025,9/1/2025 0:39,CUST000000025462,678542,1,2E+12,1,INR,5217,3%,254,app,
9/1/2025,9/1/2025 0:39,CUST000000025462,678542,2,2E+12,1,INR,6542,2%,767,app,
9/1/2025,9/1/2025 3:46,CUST000000060701,678543,1,2E+12,1,INR,5637,10%,255,app,
9/1/2025,9/1/2025 3:46,CUST000000060701,678543,2,2E+12,1,INR,13696,0%,685,app,
9/1/2025,9/1/2025 0:12,CUST000000013192,678544,1,2E+12,1,INR,41505,9%,4519,web,FEST20
9/1/2025,9/1/2025 2:31,CUST000000107239,678545,1,2E+12,Two,INR,101437,7%,22622,app,FEST20
9/1/2025,9/1/2025 4:17,CUST000000071304,678546,1,2E+12,4,INR,11355,9%,2076,web,PRIME5
9/1/2025,9/1/2025 10:55,CUST000000231384,678547,1,2E+12,Two,SGD,44,10%,5,app,
9/1/2025,9/1/2025 4:28,CUST000000127751,678548,1,2E+12,Two,GBP,306,4%,71,web,
9/1/2025,9/1/2025 4:28,CUST000000127751,678548,2,2E+12,1,GBP,53,2%,7,web,
9/1/2025,9/1/2025 13:22,CUST000000294635,678549,1,2E+12,1,INR,105340,12%,11128,app,
9/1/2025,9/1/2025 0:01,CUST000000260581,678550,1,2E+12,Two,INR,9672,6%,2193,web,FEST20
9/1/2025,9/1/2025 0:01,CUST000000260581,678550,2,2E+12,1,INR,7272,16%,305,web,FEST20
9/1/2025,9/1/2025 9:24,CUST000000146453,678551,1,2E+12,Two,INR,660,14%,205,app,
9/1/2025,9/1/2025 9:24,CUST000000146453,678551,2,2E+12,1,INR,695,15%,71,app,
9/1/2025,9/1/2025 9:54,CUST000000177156,678552,1,2E+12,1,USD,"$1,247 ",0%,150,web,
9/1/2025,9/1/2025 9:54,CUST000000177156,678552,2,2E+12,1,USD,$400 ,19%,39,web,
9/1/2025,9/1/2025 9:54,CUST000000177156,678552,3,2E+12,Two,USD,$54 ,12%,12,web,
9/1/2025,9/1/2025 12:13,CUST000000286762,678553,1,2E+12,1,INR,83484,0%,4175,web,NEW10
9/1/2025,9/1/2025 7:09,CUST000000076362,678554,1,2E+12,Two,AUD,66,22%,6,app,FEST20
9/1/2025,9/1/2025 15:39,CUST000000286587,678555,1,2E+12,Two,INR,1009,13%,211,app,
9/1/2025,9/1/2025 15:39,CUST000000286587,678555,2,2E+12,Two,INR,629,15%,128,app,
9/1/2025,9/1/2025 8:10,CUST000000025896,678556,1,2E+12,1,INR,6723,3%,782,web,SAVE50
9/1/2025,9/1/2025 13:52,CUST000000041635,678557,1,2E+12,1,USD,$46 ,5%,8,app,
9/1/2025,9/1/2025 13:52,CUST000000041635,678557,2,2E+12,1,USD,$795 ,4%,39,app,
9/1/2025,9/1/2025 4:51,CUST000000272820,678558,1,2E+12,1,INR,3819,19%,155,app,
9/1/2025,9/1/2025 4:51,CUST000000272820,678558,2,2E+12,1,INR,8988,9%,982,app,
9/1/2025,9/1/2025 23:28,CUST000000054614,678559,1,2E+12,Two,INR,1834,1%,651,web,SAVE50
9/1/2025,9/1/2025 23:28,CUST000000054614,678559,2,2E+12,1,INR,1621,10%,263,web,SAVE50
9/1/2025,9/1/2025 23:28,CUST000000054614,678559,3,2E+12,1,INR,4179,2%,493,web,SAVE50
9/1/2025,9/1/2025 5:51,CUST000000027485,678560,1,2E+12,1,INR,3178,10%,143,app,
9/1/2025,9/1/2025 5:51,CUST000000027485,678560,2,2E+12,4,INR,13973,5%,6389,app,
9/1/2025,9/1/2025 21:54,CUST000000101882,678561,1,2E+12,Two,INR,93816,11%,19984,web,PRIME5
9/1/2025,9/1/2025 21:54,CUST000000101882,678561,2,2E+12,Two,INR,16096,23%,1241,web,PRIME5
9/1/2025,9/1/2025 19:55,CUST000000223734,678562,1,2E+12,3,SGD,23,13%,4,app,
9/1/2025,9/1/2025 12:35,CUST000000165395,678563,1,2E+12,1,INR,1338,3%,157,web,
9/1/2025,9/1/2025 14:02,CUST000000167869,678564,1,2E+12,1,AUD,364,2%,43,web,
9/1/2025,9/1/2025 14:02,CUST000000167869,678564,2,2E+12,1,AUD,36,6%,2,web,
9/1/2025,9/1/2025 14:02,CUST000000167869,678564,3,2E+12,1,AUD,39,12%,5,web,
9/1/2025,9/1/2025 5:55,CUST000000229648,678565,1,2E+12,3,INR,131,0%,71,web,
9/1/2025,9/1/2025 5:55,CUST000000229648,678565,2,2E+12,1,INR,1184,12%,53,web,
9/1/2025,9/1/2025 5:55,CUST000000229648,678565,3,2E+12,1,INR,756,0%,91,web,
9/1/2025,9/1/2025 5:39,CUST000000135581,678566,1,2E+12,Two,AUD,207,21%,40,web,PRIME5
9/1/2025,9/1/2025 5:39,CUST000000135581,678566,2,2E+12,Two,AUD,19,25%,4,web,PRIME5
9/1/2025,9/1/2025 8:05,CUST000000055317,678567,1,2E+12,1,INR,3557,14%,369,web,FEST20
9/1/2025,9/1/2025 18:30,CUST000000272413,678568,1,2E+12,1,GBP,51,3%,3,app,SAVE50
9/1/2025,9/1/2025 9:29,CUST000000030806,678569,1,2E+12,1,INR,6249,0%,750,app,
9/1/2025,9/1/2025 9:29,CUST000000030806,678569,2,2E+12,1,INR,3893,5%,445,app,
9/1/2025,9/1/2025 9:29,CUST000000030806,678569,3,2E+12,1,INR,651,0%,79,app,
9/1/2025,9/1/2025 9:29,CUST000000030806,678569,4,2E+12,1,INR,752,13%,33,app,
9/1/2025,9/1/2025 15:52,CUST000000220218,678570,1,2E+12,1,INR,2293,0%,276,web,NEW10
9/1/2025,9/1/2025 15:52,CUST000000220218,678570,2,2E+12,1,INR,2367,11%,252,web,NEW10
9/1/2025,9/1/2025 1:10,CUST000000000606,678571,1,2E+12,1,INR,53445,0%,6414,app,FEST20
9/1/2025,9/1/2025 1:29,CUST000000027772,678572,1,2E+12,1,AUD,21,10%,3,app,
9/1/2025,9/1/2025 1:29,CUST000000027772,678572,2,2E+12,4,AUD,144,15%,25,app,
9/1/2025,9/1/2025 1:29,CUST000000027772,678572,3,2E+12,1,AUD,24,11%,3,app,
9/1/2025,9/1/2025 21:46,CUST000000021687,678573,1,2E+12,1,INR,582,3%,69,web,FEST20
9/1/2025,9/1/2025 0:03,CUST000000143926,678574,1,2E+12,1,AUD,96,7%,5,app,SAVE50
9/1/2025,9/1/2025 0:03,CUST000000143926,678574,2,2E+12,Two,AUD,6,0%,2,app,SAVE50
9/1/2025,9/1/2025 9:29,CUST000000259165,678575,1,2E+12,3,AED,1219,16%,369,app,
9/1/2025,9/1/2025 9:29,CUST000000259165,678575,2,2E+12,1,AED,467,7%,79,app,
9/1/2025,9/1/2025 14:18,CUST000000251057,678576,1,2E+12,1,USD,$63 ,0%,8,app,
9/1/2025,9/1/2025 8:00,CUST000000128328,678577,1,2E+12,1,INR,758,12%,34,app,
9/1/2025,9/1/2025 17:48,CUST000000248283,678578,1,2E+12,Two,INR,2795,16%,561,app,
9/1/2025,9/1/2025 15:49,CUST000000022632,678579,1,2E+12,1,INR,2360,7%,110,app,
9/1/2025,9/1/2025 21:07,CUST000000137308,678580,1,2E+12,1,INR,2442,7%,272,web,
9/1/2025,9/1/2025 21:07,CUST000000137308,678580,2,2E+12,1,INR,619,27%,55,web,
9/1/2025,9/1/2025 1:34,CUST000000127354,678581,1,2E+12,1,INR,2237,27%,197,web,
9/1/2025,9/1/2025 1:34,CUST000000127354,678581,2,2E+12,1,INR,1734,10%,281,web,
9/1/2025,9/1/2025 1:34,CUST000000127354,678581,3,2E+12,1,INR,2991,3%,146,web,
9/1/2025,9/1/2025 6:44,CUST000000001150,678582,1,2E+12,1,INR,12770,7%,1421,web,
9/1/2025,9/1/2025 6:44,CUST000000001150,678582,2,2E+12,1,INR,1268,19%,186,web,
9/1/2025,9/1/2025 3:22,CUST000000149583,678583,1,2E+12,1,INR,1943,3%,94,app,
9/1/2025,9/1/2025 11:56,CUST000000118005,678584,1,2E+12,1,GBP,109,16%,17,app,
9/1/2025,9/1/2025 20:43,CUST000000185389,678585,1,2E+12,1,INR,61367,2%,2997,web,NEW10
9/1/2025,9/1/2025 20:43,CUST000000185389,678585,2,2E+12,Two,INR,110609,6%,25049,web,NEW10
9/1/2025,9/1/2025 20:43,CUST000000185389,678585,3,2E+12,1,INR,903,9%,100,web,NEW10
9/1/2025,9/1/2025 20:43,CUST000000185389,678585,4,2E+12,1,INR,2043,6%,97,web,NEW10
9/1/2025,9/1/2025 18:39,CUST000000168854,678586,1,2E+12,1,USD,$449 ,4%,52,app,FEST20
9/1/2025,9/1/2025 18:39,CUST000000168854,678586,2,2E+12,1,USD,$16 ,16%,1,app,FEST20
9/1/2025,9/1/2025 1:12,CUST000000112284,678587,1,2E+12,1,INR,5651,4%,652,app,NEW10
9/1/2025,9/1/2025 8:50,CUST000000034893,678588,1,2E+12,Two,GBP,8,5%,3,web,PRIME5
9/1/2025,9/1/2025 17:27,CUST000000032919,678589,1,2E+12,Two,INR,1104,12%,98,app,
9/1/2025,9/1/2025 1:48,CUST000000184659,678590,1,2E+12,1,INR,11529,16%,1160,web,FEST20
9/1/2025,9/1/2025 19:37,CUST000000027814,678591,1,2E+12,1,INR,7484,12%,1184,web,PRIME5
9/1/2025,9/1/2025 19:37,CUST000000027814,678591,2,2E+12,1,INR,12568,16%,1260,web,PRIME5
9/1/2025,9/1/2025 19:37,CUST000000027814,678591,3,2E+12,1,INR,3764,13%,163,web,PRIME5
9/1/2025,9/1/2025 19:37,CUST000000027814,678591,4,2E+12,1,INR,7307,8%,335,web,PRIME5
9/1/2025,9/1/2025 15:27,CUST000000052877,678592,1,2E+12,1,INR,1147,21%,46,web,
9/1/2025,9/1/2025 0:11,CUST000000166121,678593,1,2E+12,1,INR,509,11%,82,app,
9/1/2025,9/1/2025 21:07,CUST000000163568,678594,1,2E+12,Two,INR,3331,5%,760,app,FEST20
9/1/2025,9/1/2025 21:07,CUST000000163568,678594,2,2E+12,1,INR,2575,8%,286,app,FEST20
9/1/2025,9/1/2025 21:07,CUST000000163568,678594,3,2E+12,4,INR,5157,6%,3480,app,FEST20
9/1/2025,9/1/2025 15:22,CUST000000121692,678595,1,2E+12,1,AUD,137,24%,6,app,
9/1/2025,9/1/2025 15:22,CUST000000121692,678595,2,2E+12,1,AUD,146,6%,7,app,
9/1/2025,9/1/2025 7:34,CUST000000113392,678596,1,2E+12,1,USD,$13 ,21%,1,web,PRIME5
9/1/2025,9/1/2025 6:08,CUST000000124787,678597,1,2E+12,1,INR,4255,13%,443,app,
9/1/2025,9/1/2025 6:08,CUST000000124787,678597,2,2E+12,1,INR,2977,13%,311,app,
9/1/2025,9/1/2025 6:08,CUST000000124787,678597,3,2E+12,3,INR,63727,13%,19864,app,
9/1/2025,9/1/2025 19:42,CUST000000191528,678598,1,2E+12,1,INR,2455,15%,252,app,
9/1/2025,9/1/2025 2:47,CUST000000200079,678599,1,2E+12,1,INR,3486,10%,376,app,FEST20
9/1/2025,9/1/2025 4:03,CUST000000155705,678600,1,2E+12,Two,INR,7764,15%,658,web,
9/1/2025,9/1/2025 1:13,CUST000000218388,678601,1,2E+12,Two,USD,$13 ,0%,4,app,
9/1/2025,9/1/2025 1:13,CUST000000218388,678601,2,2E+12,1,USD,$41 ,0%,8,app,
9/1/2025,9/1/2025 19:31,CUST000000235803,678602,1,2E+12,1,GBP,149,11%,7,web,
9/1/2025,9/1/2025 19:31,CUST000000235803,678602,2,2E+12,1,GBP,12,5%,2,web,
9/1/2025,9/1/2025 8:56,CUST000000220120,678603,1,2E+12,1,INR,539,5%,26,web,FEST20
9/1/2025,9/1/2025 16:36,CUST000000089134,678604,1,2E+12,Two,AED,40,0%,10,app,
9/1/2025,9/1/2025 4:13,CUST000000078413,678605,1,2E+12,Two,AUD,33,15%,7,app,
9/1/2025,9/1/2025 4:13,CUST000000078413,678605,2,2E+12,1,AUD,643,5%,74,app,
9/1/2025,9/1/2025 20:53,CUST000000002755,678606,1,2E+12,1,INR,3167,3%,154,app,FEST20
9/1/2025,9/1/2025 20:53,CUST000000002755,678606,2,2E+12,1,INR,12996,6%,2208,app,FEST20
9/1/2025,9/1/2025 5:22,CUST000000292206,678607,1,2E+12,1,GBP,27,2%,2,app,
9/1/2025,9/1/2025 9:55,CUST000000103265,678608,1,2E+12,1,GBP,9,3%,2,web,FEST20
9/1/2025,9/1/2025 9:55,CUST000000103265,678608,2,2E+12,1,GBP,809,11%,87,web,FEST20
9/1/2025,9/1/2025 9:55,CUST000000103265,678608,3,2E+12,1,GBP,9,11%,2,web,FEST20
9/1/2025,9/1/2025 9:07,CUST000000156345,678609,1,2E+12,1,SGD,4,22%,1,app,FEST20
9/1/2025,9/1/2025 3:53,CUST000000130009,678610,1,2E+12,3,SGD,11,20%,4,web,
9/1/2025,9/1/2025 22:58,CUST000000079547,678611,1,2E+12,1,INR,15861,12%,701,app,PRIME5
9/1/2025,9/1/2025 2:21,CUST000000195843,678612,1,2E+12,1,INR,2904,15%,295,app,PRIME5
9/1/2025,9/1/2025 2:21,CUST000000195843,678612,2,2E+12,1,INR,29813,9%,3244,app,PRIME5
9/1/2025,9/1/2025 2:21,CUST000000195843,678612,3,2E+12,1,INR,2446,0%,122,app,PRIME5
9/1/2025,9/1/2025 20:28,CUST000000290906,678613,1,2E+12,Two,USD,$53 ,20%,5,app,PRIME5
9/1/2025,9/1/2025 20:28,CUST000000290906,678613,2,2E+12,1,USD,$207 ,0%,38,app,PRIME5
9/1/2025,9/1/2025 20:28,CUST000000290906,678613,3,2E+12,1,USD,$35 ,2%,5,app,PRIME5
9/1/2025,9/1/2025 12:59,CUST000000280809,678614,1,2E+12,1,AED,77,5%,4,web,
9/1/2025,9/1/2025 23:32,CUST000000243089,678615,1,2E+12,1,GBP,37,1%,7,app,PRIME5
9/1/2025,9/1/2025 17:42,CUST000000023876,678616,1,2E+12,1,INR,3223,16%,136,web,
9/1/2025,9/1/2025 17:42,CUST000000023876,678616,2,2E+12,1,INR,13586,9%,620,web,
